"Cycle 0:#010:XPS Survey"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,1.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
5.316000e+02,3.590030e+03,,9.550800e+02,3.590030e+04
5.326000e+02,3.503400e+03,,9.540800e+02,3.503400e+04
5.336000e+02,3.616410e+03,,9.530800e+02,3.616410e+04
5.346000e+02,3.540920e+03,,9.520800e+02,3.540920e+04
5.356000e+02,3.492200e+03,,9.510800e+02,3.492200e+04
5.366000e+02,3.643160e+03,,9.500800e+02,3.643160e+04
5.376000e+02,3.563090e+03,,9.490800e+02,3.563090e+04
5.386000e+02,3.495690e+03,,9.480800e+02,3.495690e+04
5.396000e+02,3.585130e+03,,9.470800e+02,3.585130e+04
5.406000e+02,3.494060e+03,,9.460800e+02,3.494060e+04
5.416000e+02,3.557190e+03,,9.450800e+02,3.557190e+04
5.426000e+02,3.466690e+03,,9.440800e+02,3.466690e+04
5.436000e+02,3.494800e+03,,9.430800e+02,3.494800e+04
